"","rank","University","Total.Students","student.staff.ratio","pc.of.int.l.students","female.male.ratio"
"395","351¡V400","Royal Holloway, University of London","10,177",14.6,"36%","57 : 43"
"396","351¡V400","Shenzhen University","36,401",14.5,"1%","47 : 53"
"397","351¡V400","SUNY University at Albany","16,110",16.8,"9%","55 : 45"
"398","351¡V400","Syracuse University","20,573",15,"21%","53 : 47"
"399","351¡V400","University of Texas at Dallas","25,464",22.9,"20%","43 : 57"
"400","351¡V400","University of Trento","13,782",19.8,"7%","52 : 48"
"401","351¡V400","University of Turku","12,851",15.5,"6%","63 : 37"
"402","351¡V400","UiT The Arctic University of Norway","14,505",10.4,"10%","58 : 42"
"403","351¡V400","Umea University","17,495",12.6,"11%","60 : 40"
"404","351¡V400","United Arab Emirates University","7,121",8.4,"17%","80 : 20"
"405","351¡V400","Washington State University","29,326",19.3,"7%","53 : 47"
"406","401¡V500","Addis Ababa University","46,864",16.6,"0%","33 : 67"
"407","401¡V500","Duy Tan University","21,519",23.6,"0%","64 : 36"
"408","401¡V500","University of Alaska Fairbanks","3,125",7.8,"6%","52 : 48"
"409","401¡V500","An-Najah National University","23,053",21.3,"9%","65 : 35"
"410","401¡V500","Aston University","11,517",17.9,"24%","48 : 52"
"411","401¡V500","Aswan University","29,353",45,"2%","56 : 44"
"412","401¡V500","Bangor University","8,802",15.5,"23%","60 : 40"
"413","401¡V500","University of Campinas","29,466",16.5,"3%","46 : 54"
"414","401¡V500","Cankaya University","7,716",26.5,"1%","44 : 56"
"415","401¡V500","Claude Bernard University Lyon 1","27,767",13,"14%","54 : 46"
"416","401¡V500","Colorado School of Mines","6,226",17.4,"10%","31 : 69"
"417","401¡V500","University of Connecticut","28,024",13.1,"12%","52 : 48"
"418","401¡V500","University of Cote d¡¦Azur","31,638",18.3,"21%","56 : 44"
"419","401¡V500","University of Crete","13,620",27.2,"4%","63 : 37"
"420","401¡V500","University of Cyprus","6,588",19.9,"12%","62 : 38"
"421","401¡V500","University of Denver","9,624",12.7,"7%","59 : 41"
"422","401¡V500","Durban University of Technology","26,543",37.7,"1%","53 : 47"
"423","401¡V500","Ecole des Mines de Saint-Etienne","1,039",8.5,"24%","30 : 70"
"424","401¡V500","Edith Cowan University","18,086",30.5,"29%","59 : 41"
"425","401¡V500","University of Ferrara","18,093",28.9,"6%","61 : 39"
"426","401¡V500","University of Florence","36,629",21.3,"10%","56 : 44"
"427","401¡V500","Free University of Bozen-Bolzano","4,195",11.2,"15%","67 : 33"
"428","401¡V500","University of Fribourg","10,687",25.4,"17%","60 : 40"
"429","401¡V500","University of Genoa","23,225",18.9,"9%","56 : 44"
"430","401¡V500","Georgia State University","32,290",15.5,"6%","59 : 41"
"431","401¡V500","Goldsmiths, University of London","9,325",15.6,"37%","66 : 34"
"432","401¡V500","Hong Kong Baptist University","7,075",10.1,"58%","67 : 33"
"433","401¡V500","Hunan University","40,198",18.6,"3%","48 : 52"
"434","401¡V500","University of Ibadan","35,083",22.6,"1%","48 : 52"
"435","401¡V500","University of Iceland","9,023",15.5,"11%","67 : 33"
"436","401¡V500","Indian Institute of Technology Indore","1,832",11.4,"0%","19 : 81"
"437","401¡V500","University of Innsbruck","13,517",22.2,"43%","53 : 47"
"438","401¡V500","University of Insubria","9,207",26.5,"6%","56 : 44"
"439","401¡V500","Iowa State University","31,013",17.9,"11%","44 : 56"
"440","401¡V500","Jacobs University","1,571",21.9,"78%","43 : 57"
"441","401¡V500","Jordan University of Science and Technology","22,656",14.5,"13%","57 : 43"
"442","401¡V500","Justus Liebig University Giessen","27,666",42.8,"10%","63 : 37"
"443","401¡V500","University of Kansas","24,581",9.6,"9%","53 : 47"
"444","401¡V500","University of Kragujevac","15,717",12.5,"0%","54 : 46"
"445","401¡V500","Leibniz University Hannover","21,640",41.9,"18%","42 : 58"
"446","401¡V500","L¡¦institut Agro","2,221",11.3,"17%","62 : 38"
"447","401¡V500","Liverpool John Moores University","20,662",16.9,"16%","53 : 47"
"448","401¡V500","University of Marburg","24,198",32.4,"13%","55 : 45"
"449","401¡V500","Middlesex University","15,645",18.2,"46%","60 : 40"
"450","401¡V500","Missouri University of Science and Technology","8,898",22.8,"11%","23 : 77"
"451","401¡V500","University of Modena and Reggio Emilia","19,907",28.3,"5%","54 : 46"
"452","401¡V500","University of Naples Federico II","51,444",19.7,"2%","55 : 45"
"453","401¡V500","National and Kapodistrian University of Athens","64,946",33.2,"11%","59 : 41"
"454","401¡V500","National Research Nuclear University MEPhI","5,162",9.5,"30%","38 : 62"
"455","401¡V500","University of Nebraska-Lincoln","24,563",16.2,"11%","48 : 52"
"456","401¡V500","Northumbria University","21,529",16.3,"19%","55 : 45"
"457","401¡V500","Norwegian University of Science and Technology","35,400",14.9,"8%","49 : 51"
"458","401¡V500","NOVA University of Lisbon","20,396",17.9,"21%","51 : 49"
"459","401¡V500","University of Occupational and Environmental Health, Japan","1,170",2.5,"1%","51 : 49"
"460","401¡V500","Orebro University","9,623",15.1,"6%","61 : 39"
"461","401¡V500","University of Peradeniya","16,647",11.1,"1%","59 : 41"
"462","401¡V500","University of Pisa","33,780",21.4,"6%","51 : 49"
"463","401¡V500","University of Plymouth","16,505",17.5,"15%","57 : 43"
"464","401¡V500","Pontificia Universidad Catolica de Chile","29,756",15.3,"7%","n/a"
"465","401¡V500","University of Porto","33,120",16.3,"19%","56 : 44"
"466","401¡V500","Universitat Ramon Llull","14,309",21.4,"17%","53 : 47"
"467","401¡V500","Royal Veterinary College","2,260",10.7,"25%","79 : 21"
"468","401¡V500","Saint-Petersburg Mining University","7,753",11.5,"11%","43 : 57"
"469","401¡V500","University of Salerno","25,911",27.5,"3%","55 : 45"
"470","401¡V500","Sciences Po","12,543",45,"37%","60 : 40"
"471","401¡V500","Sharif University of Technology","8,253",21.3,"2%","25 : 75"
"472","401¡V500","University of Sharjah","12,370",17.6,"59%","67 : 33"
"473","401¡V500","Sichuan University","51,121",16.4,"6%","50 : 50"
"474","401¡V500","SOAS University of London","4,633",12,"54%","68 : 32"
"475","401¡V500","University of South Carolina-Columbia","32,997",15.9,"6%","55 : 45"
"476","401¡V500","South China University of Technology","41,095",13.3,"5%","39 : 61"
"477","401¡V500","Southern Medical University","20,167",10.8,"6%","n/a"
"478","401¡V500","University of Southern Queensland","11,841",26.5,"18%","61 : 39"
"479","401¡V500","SRUC (Scotland¡¦s Rural College)","1,478",5.7,"11%","56 : 44"
"480","401¡V500","University of Stavanger","11,560",12.1,"12%","60 : 40"
"481","401¡V500","University of Strathclyde","19,337",18.2,"27%","51 : 49"
"482","401¡V500","University of Tabuk","30,590",15.6,"1%","48 : 52"
"483","401¡V500","Technion Israel Institute of Technology","14,482",20.9,"9%","38 : 62"
"484","401¡V500","Tianjin University","27,355",9,"12%","n/a"
"485","401¡V500","Ton Duc Thang University","26,833",22.3,"1%","57 : 43"
"486","401¡V500","TU Dortmund University","25,126",84.6,"10%","47 : 53"
"487","401¡V500","Tulane University","11,336",8,"12%","58 : 42"
"488","401¡V500","University of Turin","57,586",28.6,"6%","61 : 39"
"489","401¡V500","TU Wien","10,296",18.7,"30%","30 : 70"
"490","401¡V500","University of Vaasa","3,690",21.9,"4%","53 : 47"
"491","401¡V500","University of Valencia","50,601",14.3,"13%","58 : 42"
"492","401¡V500","Verona University","18,825",24.6,"4%","64 : 36"
"493","401¡V500","University of Vic ¡V Central University of Catalonia","6,344",14.5,"20%","60 : 40"
"494","401¡V500","Victoria University","16,680",48.1,"31%","52 : 48"
"495","401¡V500","University of Waikato","10,617",18.8,"33%","59 : 41"
"496","401¡V500","Wayne State University","22,598",11.8,"6%","58 : 42"
"497","401¡V500","University of the West of England","23,322",15.5,"21%","54 : 46"
"498","401¡V500","The University of the West Indies","24,281",16.4,"1%","71 : 29"
"499","401¡V500","Xiamen University","42,141",15,"4%","51 : 49"
"500","401¡V500","Xi¡¦an Jiaotong University","38,879",12.5,"7%","35 : 65"
"501","401¡V500","Yokohama City University","5,054",5.9,"2%","56 : 44"
"502","401¡V500","York University","43,258",29,"27%","55 : 45"
"503","501¡V600","University of Camerino (Unicam)","8,052",27.3,"10%","56 : 44"
"504","501¡V600","Urmia University of Medical Sciences","2,706",7.4,"2%","52 : 48"
"505","501¡V600","Aberystwyth University","6,446",17,"23%","52 : 48"
"506","501¡V600","Alagappa University","4,548",13,"0%","65 : 35"
"507","501¡V600","American University","12,683",12,"11%","62 : 38"
"508","501¡V600","Amirkabir University of Technology","11,550",22,"2%","35 : 65"
"509","501¡V600","University of L¡¦Aquila","17,308",36.4,"5%","56 : 44"
"510","501¡V600","Asia University, Taiwan","11,616",30.3,"9%","63 : 37"
"511","501¡V600","Universidad Autonoma de Chile","27,027",23.7,"1%","62 : 38"
"512","501¡V600","University of Bari Aldo Moro","29,565",21.2,"1%","61 : 39"
"513","501¡V600","Beihang University","30,837",12.9,"7%","n/a"
"514","501¡V600","Beijing University of Chemical Technology","25,497",20.9,"4%","38 : 62"
"515","501¡V600","Birmingham City University","21,703",16.7,"24%","62 : 38"
"516","501¡V600","Bond University","3,386",10.5,"46%","53 : 47"
"517","501¡V600","Bucharest University of Economic Studies","22,287",15.9,"4%","65 : 35"
"518","501¡V600","University of Canterbury","14,606",18.3,"25%","51 : 49"
"519","501¡V600","Capital Medical University","13,823",5,"5%","66 : 34"
"520","501¡V600","Centrale Nantes","1,777",16.4,"49%","23 : 77"
"521","501¡V600","CEU Universities","18,259",11.5,"20%","64 : 36"
"522","501¡V600","Charles Darwin University","6,665",30.6,"28%","68 : 32"
"523","501¡V600","Charles University in Prague","47,182",13,"22%","62 : 38"
"524","501¡V600","Clark University","3,020",11.4,"22%","60 : 40"
"525","501¡V600","Complutense University of Madrid","66,338",22,"12%","58 : 42"
"526","501¡V600","University of Costa Rica","35,071",15,"2%","52 : 48"
"527","501¡V600","Cyprus University of Technology","3,153",16.6,"13%","56 : 44"
"528","501¡V600","University of Desarrollo","15,787",19.3,"4%","56 : 44"
"529","501¡V600","Diego Portales University","17,649",15.5,"2%","50 : 50"
"530","501¡V600","Don State Technical University","26,376",12.9,"11%","n/a"
"531","501¡V600","Dublin City University","13,315",23.6,"12%","57 : 43"
"532","501¡V600","University of Eastern Finland","11,688",18.3,"6%","65 : 35"
"533","501¡V600","Eastern Mediterranean University","16,073",28.5,"78%","42 : 58"
"534","501¡V600","Edinburgh Napier University","10,812",18.4,"32%","54 : 46"
"535","501¡V600","University of Electronic Science and Technology of China","35,342",15.6,"4%","29 : 71"
"536","501¡V600","Federal University of Toulouse Midi-Pyrenees","105,857",19.6,"14%","54 : 46"
"537","501¡V600","Ferhat Abbas Setif University 1","34,622",22.5,"1%","63 : 37"
"538","501¡V600","Florida International University","34,729",23,"9%","58 : 42"
"539","501¡V600","University of Guelph","22,571",27.4,"10%","59 : 41"
"540","501¡V600","Gwangju Institute of Science and Technology","1,884",10.3,"7%","23 : 77"
"541","501¡V600","Harbin Institute of Technology","30,575",10.2,"8%","31 : 69"
"542","501¡V600","Heriot-Watt University","9,493",18.3,"36%","40 : 60"
"543","501¡V600","Hokkaido University","18,085",8.2,"11%","30 : 70"
"544","501¡V600","University of International Business and Economics","15,985",17.7,"17%","65 : 35"
"545","501¡V600","Iran University of Medical Sciences","8,344",8.2,"4%","58 : 42"
"546","501¡V600","Islamic Azad University, Najafabad Branch (IAUN)","21,181",53.9,"1%","46 : 54"
"547","501¡V600","Jagiellonian University","36,354",10,"11%","63 : 37"
"548","501¡V600","Kafrelsheikh University","57,421",24.5,"2%","52 : 48"
"549","501¡V600","Keele University","9,122",14.9,"17%","58 : 42"
"550","501¡V600","University of Kentucky","26,483",11.5,"4%","56 : 44"
"551","501¡V600","Koc University","5,521",15.4,"7%","50 : 50"
"552","501¡V600","Kyushu University","18,608",7.7,"14%","29 : 71"
"553","501¡V600","University of Lagos","32,732",19.7,"0%","45 : 55"
"554","501¡V600","University of Lille","69,090",28.8,"15%","58 : 42"
"555","501¡V600","Lincoln University","2,633",14.7,"47%","51 : 49"
"556","501¡V600","University of Lincoln","13,925",15.4,"12%","56 : 44"
"557","501¡V600","University of Lisbon","49,198",17.9,"18%","53 : 47"
"558","501¡V600","Mansoura University","154,957",24.2,"3%","54 : 46"
"559","501¡V600","Maynooth University","10,712",27.6,"12%","56 : 44"
"560","501¡V600","University of Messina","15,479",24.7,"3%","62 : 38"
"561","501¡V600","Mizzou - University of Missouri","25,147",11.8,"5%","54 : 46"
"562","501¡V600","University of Mohaghegh Ardabili","10,633",26.7,"0%","56 : 44"
"563","501¡V600","University of Montana","7,962",14.9,"2%","57 : 43"
"564","501¡V600","Murdoch University","17,261",37.3,"41%","60 : 40"
"565","501¡V600","University of Nairobi","52,678",34.5,"2%","24 : 76"
"566","501¡V600","University of Nebraska Medical Center","3,146",2.1,"7%","68 : 32"
"567","501¡V600","New Jersey Institute of Technology","9,447",14.3,"26%","26 : 74"
"568","501¡V600","Northern Arizona University","30,512",26.9,"5%","62 : 38"
"569","501¡V600","North-West University","40,262",25.4,"3%","61 : 39"
"570","501¡V600","Northwestern Polytechnical University","31,033",13.2,"3%","26 : 74"
"571","501¡V600","Nottingham Trent University","27,218",14.9,"20%","58 : 42"
"572","501¡V600","Oklahoma State University","21,626",14.8,"6%","50 : 50"
"573","501¡V600","University of Perugia","25,301",24.9,"7%","57 : 43"
"574","501¡V600","Plekhanov Russian University of Economics","14,450",8.8,"13%","61 : 39"
"575","501¡V600","Polytechnic University of Bari","9,639",41.5,"1%","31 : 69"
"576","501¡V600","Pontifical Javeriana University","28,885",15.3,"1%","55 : 45"
"577","501¡V600","University of Portsmouth","21,688",16.1,"27%","46 : 54"
"578","501¡V600","Quaid-i-Azam University","16,793",11.6,"1%","63 : 37"
"579","501¡V600","Rensselaer Polytechnic Institute","7,800",15.6,"20%","32 : 68"
"580","501¡V600","Riga Stradi<U+0146><U+0161> University","8,083",17.7,"29%","73 : 27"
"581","501¡V600","Sabanc<U+0131> University","3,700",20.9,"9%","38 : 62"
"582","501¡V600","Saint Louis University","10,742",7.1,"7%","60 : 40"
"583","501¡V600","University of Sannio","2,896",15,"2%","51 : 49"
"584","501¡V600","University of Saskatchewan","17,896",18.2,"21%","55 : 45"
"585","501¡V600","University of Sassari","14,500",35.6,"2%","66 : 34"
"586","501¡V600","Southeast University","35,213",11.8,"5%","39 : 61"
"587","501¡V600","Southwestern University of Finance and Economics","23,302",16.7,"3%","64 : 36"
"588","501¡V600","University of Strasbourg","49,511",19.6,"20%","58 : 42"
"589","501¡V600","Suez Canal University","36,423",11,"1%","57 : 43"
"590","501¡V600","Sumy State University","8,472",9.7,"20%","n/a"
"591","501¡V600","Universiti Teknologi Petronas","5,412",14.4,"16%","37 : 63"
"592","501¡V600","Thapar Institute of Engineering and Technology","8,934",16.1,"1%","28 : 72"
"593","501¡V600","Tokyo Medical and Dental University (TMDU)","3,027",4.3,"10%","49 : 51"
"594","501¡V600","University of Trieste","16,432",24.7,"8%","56 : 44"
"595","501¡V600","University of Tsukuba","15,853",12.8,"17%","39 : 61"
"596","501¡V600","University of Tuscia","6,989",20.3,"3%","48 : 52"
"597","501¡V600","University of Urbino Carlo Bo","14,956",41.2,"6%","62 : 38"
"598","501¡V600","Victoria University of Wellington","17,933",19,"22%","57 : 43"
"599","501¡V600","University of the West of Scotland","13,013",23.1,"24%","60 : 40"
"600","501¡V600","Zhejiang Normal University","23,861",10.4,"10%","n/a"
"601","601¡V800","Hazara University Mansehra","9,830",23,"0%","25 : 75"
"602","601¡V800","Lithuanian University of Health Sciences","6,720",9.2,"17%","76 : 24"
"603","601¡V800","Abdul Wali Khan University Mardan","10,669",21.4,"0%","20 : 80"
"604","601¡V800","Abo Akademi University","5,309",17.5,"14%","n/a"
"605","601¡V800","Ahvaz Jundishapur University of Medical Sciences (AJUMS)","8,259",11.5,"1%","60 : 40"
"606","601¡V800","The University of Aizu","1,197",11.7,"7%","11 : 89"
"607","601¡V800","Ajou University","9,073",17.2,"11%","n/a"
"608","601¡V800","The University of Alabama","35,800",21.6,"4%","56 : 44"
"609","601¡V800","University of Alabama in Huntsville","8,258",18.1,"6%","45 : 55"
"610","601¡V800","University of Alcala","17,995",11.9,"23%","53 : 47"
"611","601¡V800","Aristotle University of Thessaloniki","49,057",30.1,"5%","60 : 40"
"612","601¡V800","University of Arkansas","25,527",20,"5%","53 : 47"
"613","601¡V800","Auburn University","27,469",18.8,"10%","50 : 50"
"614","601¡V800","Azarbaijan Shahid Madani University","7,121",26.3,"0%","61 : 39"
"615","601¡V800","University of the Balearic Islands","17,449",17.9,"3%","32 : 68"
"616","601¡V800","Banaras Hindu University","13,900",8.8,"3%","39 : 61"
"617","601¡V800","Bar-Ilan University","16,498",16.5,"5%","61 : 39"
"618","601¡V800","Beijing Institute of Technology","33,771",13.8,"6%","34 : 66"
"619","601¡V800","University of Beira Interior","7,417",16.2,"20%","52 : 48"
"620","601¡V800","University of Bergamo","22,957",61.9,"7%","63 : 37"
"621","601¡V800","Bilkent University","9,961",14.3,"9%","46 : 54"
"622","601¡V800","Universite Bourgogne Franche-Comte (UBFC)","65,746",36.6,"12%","55 : 45"
"623","601¡V800","University of Bradford","8,246",18.6,"28%","57 : 43"
"624","601¡V800","University of Brighton","16,094",17.7,"22%","60 : 40"
"625","601¡V800","Ca¡¦ Foscari University of Venice","16,804",25.7,"11%","64 : 36"
"626","601¡V800","Cairo University","231,150",38.6,"3%","48 : 52"
"627","601¡V800","University of Calabria","26,513",31.6,"3%","58 : 42"
"628","601¡V800","Carleton University","28,693",29.6,"21%","49 : 51"
"629","601¡V800","University of Catania","25,486",20.2,"3%","55 : 45"
"630","601¡V800","University of Central Florida","61,044",36.3,"4%","56 : 44"
"631","601¡V800","Institute of Chemical Technology","2,470",24.7,"0%","37 : 63"
"632","601¡V800","China Agricultural University","21,855",11.8,"1%","58 : 42"
"633","601¡V800","Chongqing University","40,613",19.9,"6%","n/a"
"634","601¡V800","Chung-Ang University","18,066",23,"21%","n/a"
"635","601¡V800","University of Coimbra","21,845",18.4,"20%","57 : 43"
"636","601¡V800","Concordia University","35,698",33.6,"33%","50 : 50"
"637","601¡V800","Covenant University","8,156",15.2,"0%","43 : 57"
"638","601¡V800","Coventry University","30,827",15.6,"46%","48 : 52"
"639","601¡V800","CY Cergy Paris University","14,768",19.7,"25%","52 : 48"
"640","601¡V800","Dalian University of Technology","40,469",15.3,"3%","33 : 67"
"641","601¡V800","Delhi Technological University","9,939",22.2,"3%","19 : 81"
"642","601¡V800","De Montfort University","21,889",19.6,"33%","54 : 46"
"643","601¡V800","University of Derby","14,941",14.8,"16%","59 : 41"
"644","601¡V800","University of Deusto","9,135",20.2,"11%","59 : 41"
"645","601¡V800","Eotvos Lorand University","29,639",16.6,"12%","62 : 38"
"646","601¡V800","Ewha Womans University","14,876",18,"15%","100 : 0"
"647","601¡V800","Federal University of Minas Gerais","43,886",12.9,"2%","53 : 47"
"648","601¡V800","Universidade Federal do Rio Grande do Sul","41,073",14.7,"1%","51 : 49"
"649","601¡V800","Universidade Federal de Sergipe","26,079",15.2,"0%","52 : 48"
"650","601¡V800","Federation University Australia","12,946",23.2,"56%","53 : 47"
"651","601¡V800","Gabriele d¡¥Annunzio University","24,189",35,"2%","64 : 36"
"652","601¡V800","University of Girona","13,903",21.1,"14%","57 : 43"
"653","601¡V800","Glasgow Caledonian University","13,509",22.8,"18%","57 : 43"
"654","601¡V800","Government College University Faisalabad","20,583",28.6,"0%","49 : 51"
"655","601¡V800","University of Granada","50,604",13.6,"10%","60 : 40"
"656","601¡V800","University of Graz","19,211",20.8,"16%","65 : 35"
"657","601¡V800","Graz University of Technology","6,386",9.4,"22%","24 : 76"
"658","601¡V800","University of Greenwich","14,196",17.8,"41%","59 : 41"
"659","601¡V800","Guangdong University of Technology","44,296",18.4,"0%","29 : 71"
"660","601¡V800","Guangzhou University","34,472",16.9,"0%","56 : 44"
"661","601¡V800","Hacettepe University","49,026",21.3,"3%","54 : 46"
"662","601¡V800","University of Haifa","16,228",9.5,"6%","68 : 32"
"663","601¡V800","Hamburg University of Technology","4,931",32,"24%","27 : 73"
"664","601¡V800","University of Hertfordshire","17,771",14.7,"31%","56 : 44"
"665","601¡V800","University of Houston","47,002",26.6,"8%","51 : 49"
"666","601¡V800","Huazhong Agricultural University","27,746",17.6,"2%","48 : 52"
"667","601¡V800","University of Huddersfield","14,349",20,"26%","57 : 43"
"668","601¡V800","University of Hull","13,438",17.4,"19%","55 : 45"
"669","601¡V800","University of Idaho","9,565",15.8,"8%","49 : 51"
"670","601¡V800","Indian Institute of Technology Gandhinagar","1,590",15.5,"0%","24 : 76"
"671","601¡V800","Indraprastha Institute of Information Technology Delhi","2,122",26.2,"1%","30 : 70"
"672","601¡V800","International Institute of Information Technology, Hyderabad","1,557",17.5,"8%","20 : 80"
"673","601¡V800","International Islamic University, Islamabad","23,174",25.2,"8%","50 : 50"
"674","601¡V800","Iran University of Science and Technology","15,004",33.9,"1%","34 : 66"
"675","601¡V800","ISCTE-University Institute of Lisbon","9,118",23,"15%","51 : 49"
"676","601¡V800","Istanbul Technical University","25,640",21,"12%","35 : 65"
"677","601¡V800","ITMO University","11,089",16.4,"20%","36 : 64"
"678","601¡V800","Jamia Millia Islamia","10,451",9.3,"2%","47 : 53"
"679","601¡V800","Jawaharlal Nehru University","8,805",14.2,"3%","47 : 53"
"680","601¡V800","Jinan University","35,781",14.4,"31%","59 : 41"
"681","601¡V800","University of Johannesburg","28,273",24.7,"15%","55 : 45"
"682","601¡V800","Johannes Kepler University of Linz","6,644",10.2,"13%","51 : 49"
"683","601¡V800","University of Kaiserslautern","9,131",31.1,"22%","35 : 65"
"684","601¡V800","Kansai Medical University","958",1.2,"2%","46 : 54"
"685","601¡V800","University of Kashan","8,556",27.9,"3%","53 : 47"
"686","601¡V800","Kashan University of Medical Sciences and Health Services","3,148",13.3,"3%","57 : 43"
"687","601¡V800","Universiti Kebangsaan Malaysia","17,165",10.3,"16%","57 : 43"
"688","601¡V800","Keio University","34,319",10.1,"9%","37 : 63"
"689","601¡V800","Kerman University of Medical Sciences","5,202",3.6,"2%","63 : 37"
"690","601¡V800","Kobe University","15,642",10.4,"7%","36 : 64"
"691","601¡V800","Konkuk University","13,316",24.5,"17%","49 : 51"
"692","601¡V800","University of Kurdistan","11,853",33.7,"4%","53 : 47"
"693","601¡V800","Kyungpook National University","19,332",19.9,"12%","44 : 56"
"694","601¡V800","University of La Laguna","18,316",12.7,"4%","58 : 42"
"695","601¡V800","University of Latvia","12,054",34.2,"7%","70 : 30"
"696","601¡V800","Lehigh University","6,400",10.7,"19%","45 : 55"
"697","601¡V800","University of Limerick","14,951",24.7,"16%","50 : 50"
"698","601¡V800","University of Lorraine","60,673",19.4,"17%","52 : 48"
"699","601¡V800","Louisiana State University","28,656",19.9,"6%","53 : 47"
"700","601¡V800","Lviv Polytechnic National University","21,334",10,"1%","41 : 59"
"701","601¡V800","Mae Fah Luang University","14,136",21.7,"5%","73 : 27"
"702","601¡V800","Mahatma Gandhi University","1,643",15.4,"1%","68 : 32"
"703","601¡V800","Mahidol University","29,160",9.5,"5%","64 : 36"
"704","601¡V800","Makerere University","32,113",22,"3%","44 : 56"
"705","601¡V800","University of Malakand","7,256",24.5,"1%","24 : 76"
"706","601¡V800","Manchester Metropolitan University","28,520",14.7,"18%","59 : 41"
"707","601¡V800","Marche Polytechnic University","10,398",19.4,"5%","46 : 54"
"708","601¡V800","University of Maryland, Baltimore County","11,663",17.1,"9%","45 : 55"
"709","601¡V800","Mashhad University of Medical Sciences","9,013",9.5,"4%","58 : 42"
"710","601¡V800","Massey University","18,701",16.9,"32%","63 : 37"
"711","601¡V800","Memorial University of Newfoundland","15,698",14.6,"22%","55 : 45"
"712","601¡V800","Middle East Technical University","18,346",23.9,"9%","52 : 48"
"713","601¡V800","University of Missouri-St Louis","6,639",15.7,"5%","58 : 42"
"714","601¡V800","Montana State University","14,153",17.6,"3%","47 : 53"
"715","601¡V800","Monterrey Institute of Technology","15,897",15.3,"10%","43 : 57"
"716","601¡V800","Moscow State University of Civil Engineering","9,229",8.3,"10%","n/a"
"717","601¡V800","Nanjing Medical University","20,278",8.7,"4%","n/a"
"718","601¡V800","University of Nantes","36,227",23.8,"11%","56 : 44"
"719","601¡V800","National Cheng Kung University (NCKU)","19,932",15,"13%","37 : 63"
"720","601¡V800","National Institute of Applied Sciences of Lyon (INSA Lyon)","6,344",20.2,"28%","35 : 65"
"721","601¡V800","National University of Science and Technology (MISiS)","7,207",10.9,"27%","40 : 60"
"722","601¡V800","National Taiwan Normal University","10,455",12,"23%","n/a"
"723","601¡V800","National Taiwan University of Science and Technology (Taiwan Tech)","8,815",18.5,"19%","30 : 70"
"724","601¡V800","University of Neuchatel","4,099",11.1,"20%","60 : 40"
"725","601¡V800","University of New Brunswick UNB","8,628",14.3,"13%","50 : 50"
"726","601¡V800","University of Nicosia","4,662",11.8,"53%","52 : 48"
"727","601¡V800","Nippon Medical School","869",0.9,"1%","36 : 64"
"728","601¡V800","Northern Illinois University","14,266",15.5,"6%","51 : 49"
"729","601¡V800","Norwegian University of Life Sciences","6,185",7,"19%","56 : 44"
"730","601¡V800","Ohio University (Main campus)","23,940",21.7,"4%","56 : 44"
"731","601¡V800","Ontario Tech University","8,924",29,"7%","44 : 56"
"732","601¡V800","The Open University","63,446",31.8,"8%","64 : 36"
"733","601¡V800","Open University of Catalonia","27,406",87.9,"6%","56 : 44"
"734","601¡V800","Oran 1 University","26,452",19.6,"1%","72 : 28"
"735","601¡V800","Oxford Brookes University","13,117",14.8,"25%","60 : 40"
"736","601¡V800","University of Palermo","31,324",21.6,"1%","57 : 43"
"737","601¡V800","Panjab University","16,047",15,"1%","50 : 50"
"738","601¡V800","Pantheon-Sorbonne University ¡V Paris 1","34,721",28,"21%","61 : 39"
"739","601¡V800","University of Parma","27,015",31.1,"6%","57 : 43"
"740","601¡V800","Parthenope University of Naples","11,140",32.2,"2%","43 : 57"
"741","601¡V800","Universidad Peruana Cayetano Heredia","7,638",8.7,"1%","67 : 33"
"742","601¡V800","University of Peshawar","6,064",9.3,"0%","35 : 65"
"743","601¡V800","University of the Philippines","44,310",9.8,"1%","57 : 43"
"744","601¡V800","Universitat Politecnica de Catalunya","23,211",10.5,"13%","26 : 74"
"745","601¡V800","Polytechnic University of Turin","29,711",30.7,"16%","38 : 62"
"746","601¡V800","University of Pretoria","36,337",22.4,"7%","58 : 42"
"747","601¡V800","Prince Sattam Bin Abdulaziz University","26,682",11.9,"2%","59 : 41"
"748","601¡V800","Universiti Putra Malaysia","19,674",11.9,"25%","64 : 36"
"749","601¡V800","Universite du Quebec","52,387",18.9,"13%","57 : 43"
"750","601¡V800","University of Regensburg","21,376",9.8,"8%","60 : 40"
"751","601¡V800","University of Regina","13,324",23.9,"24%","60 : 40"
"752","601¡V800","Renmin University of China","27,810",13.7,"6%","n/a"
"753","601¡V800","University of Rhode Island","16,615",15.2,"3%","57 : 43"
"754","601¡V800","University of Rome III","32,067",47.1,"5%","60 : 40"
"755","601¡V800","Roskilde University","6,409",16.9,"16%","64 : 36"
"756","601¡V800","Rovira i Virgili University","12,744",12.5,"13%","60 : 40"
"757","601¡V800","RUDN University","21,203",13.3,"34%","58 : 42"
"758","601¡V800","Sahand University of Technology","5,331",28.8,"0%","38 : 62"
"759","601¡V800","Universiti Sains Malaysia","21,550",10.6,"15%","63 : 37"
"760","601¡V800","Saint Petersburg State University","22,751",7.9,"16%","62 : 38"
"761","601¡V800","San Diego State University","31,221",28.1,"8%","56 : 44"
"762","601¡V800","Saveetha University","11,080",6.9,"1%","41 : 59"
"763","601¡V800","Shahid Beheshti University of Medical Sciences","12,340",8.3,"3%","58 : 42"
