rank,University,Total Students,student staff ratio,pc of int'l students,female:male ratio
401–500,Orebro University,"9,623",15.1,6%,61 : 39
401–500,University of Peradeniya,"16,647",11.1,1%,59 : 41
401–500,University of Pisa,"33,780",21.4,6%,51 : 49
401–500,University of Plymouth,"16,505",17.5,15%,57 : 43
401–500,Pontificia Universidad Catolica de Chile,"29,756",15.3,7%,
401–500,University of Porto,"33,120",16.3,19%,56 : 44
401–500,Universitat Ramon Llull,"14,309",21.4,17%,53 : 47
401–500,Royal Veterinary College,"2,260",10.7,25%,79 : 21
401–500,Saint-Petersburg Mining University,"7,753",11.5,11%,43 : 57
401–500,University of Salerno,"25,911",27.5,3%,55 : 45
401–500,Sciences Po,"12,543",45.0,37%,60 : 40
401–500,Sharif University of Technology,"8,253",21.3,2%,25 : 75
401–500,University of Sharjah,"12,370",17.6,59%,67 : 33
401–500,Sichuan University,"51,121",16.4,6%,50 : 50
401–500,SOAS University of London,"4,633",12.0,54%,68 : 32
401–500,University of South Carolina-Columbia,"32,997",15.9,6%,55 : 45
401–500,South China University of Technology,"41,095",13.3,5%,39 : 61
401–500,Southern Medical University,"20,167",10.8,6%,
401–500,University of Southern Queensland,"11,841",26.5,18%,61 : 39
401–500,SRUC (Scotland’s Rural College),"1,478",5.7,11%,56 : 44
401–500,University of Stavanger,"11,560",12.1,12%,60 : 40
401–500,University of Strathclyde,"19,337",18.2,27%,51 : 49
401–500,University of Tabuk,"30,590",15.6,1%,48 : 52
401–500,Technion Israel Institute of Technology,"14,482",20.9,9%,38 : 62
401–500,Tianjin University,"27,355",9.0,12%,
401–500,Ton Duc Thang University,"26,833",22.3,1%,57 : 43
401–500,TU Dortmund University,"25,126",84.6,10%,47 : 53
401–500,Tulane University,"11,336",8.0,12%,58 : 42
401–500,University of Turin,"57,586",28.6,6%,61 : 39
401–500,TU Wien,"10,296",18.7,30%,30 : 70
401–500,University of Vaasa,"3,690",21.9,4%,53 : 47
401–500,University of Valencia,"50,601",14.3,13%,58 : 42
401–500,Verona University,"18,825",24.6,4%,64 : 36
401–500,University of Vic – Central University of Catalonia,"6,344",14.5,20%,60 : 40
401–500,Victoria University,"16,680",48.1,31%,52 : 48
401–500,University of Waikato,"10,617",18.8,33%,59 : 41
401–500,Wayne State University,"22,598",11.8,6%,58 : 42
401–500,University of the West of England,"23,322",15.5,21%,54 : 46
401–500,The University of the West Indies,"24,281",16.4,1%,71 : 29
401–500,Xiamen University,"42,141",15.0,4%,51 : 49
401–500,Xi’an Jiaotong University,"38,879",12.5,7%,35 : 65
401–500,Yokohama City University,"5,054",5.9,2%,56 : 44
401–500,York University,"43,258",29.0,27%,55 : 45
501–600,University of Camerino (Unicam),"8,052",27.3,10%,56 : 44
501–600,Urmia University of Medical Sciences,"2,706",7.4,2%,52 : 48
501–600,Aberystwyth University,"6,446",17.0,23%,52 : 48
501–600,Alagappa University,"4,548",13.0,0%,65 : 35
501–600,American University,"12,683",12.0,11%,62 : 38
501–600,Amirkabir University of Technology,"11,550",22.0,2%,35 : 65
501–600,University of L’Aquila,"17,308",36.4,5%,56 : 44
501–600,"Asia University, Taiwan","11,616",30.3,9%,63 : 37
501–600,Universidad Autonoma de Chile,"27,027",23.7,1%,62 : 38
501–600,University of Bari Aldo Moro,"29,565",21.2,1%,61 : 39
501–600,Beihang University,"30,837",12.9,7%,
501–600,Beijing University of Chemical Technology,"25,497",20.9,4%,38 : 62
501–600,Birmingham City University,"21,703",16.7,24%,62 : 38
501–600,Bond University,"3,386",10.5,46%,53 : 47
501–600,Bucharest University of Economic Studies,"22,287",15.9,4%,65 : 35
501–600,University of Canterbury,"14,606",18.3,25%,51 : 49
501–600,Capital Medical University,"13,823",5.0,5%,66 : 34
501–600,Centrale Nantes,"1,777",16.4,49%,23 : 77
501–600,CEU Universities,"18,259",11.5,20%,64 : 36
501–600,Charles Darwin University,"6,665",30.6,28%,68 : 32
501–600,Charles University in Prague,"47,182",13.0,22%,62 : 38
501–600,Clark University,"3,020",11.4,22%,60 : 40
501–600,Complutense University of Madrid,"66,338",22.0,12%,58 : 42
501–600,University of Costa Rica,"35,071",15.0,2%,52 : 48
501–600,Cyprus University of Technology,"3,153",16.6,13%,56 : 44
501–600,University of Desarrollo,"15,787",19.3,4%,56 : 44
501–600,Diego Portales University,"17,649",15.5,2%,50 : 50
501–600,Don State Technical University,"26,376",12.9,11%,
501–600,Dublin City University,"13,315",23.6,12%,57 : 43
501–600,University of Eastern Finland,"11,688",18.3,6%,65 : 35
501–600,Eastern Mediterranean University,"16,073",28.5,78%,42 : 58
501–600,Edinburgh Napier University,"10,812",18.4,32%,54 : 46
501–600,University of Electronic Science and Technology of China,"35,342",15.6,4%,29 : 71
501–600,Federal University of Toulouse Midi-Pyrenees,"105,857",19.6,14%,54 : 46
501–600,Ferhat Abbas Setif University 1,"34,622",22.5,1%,63 : 37
501–600,Florida International University,"34,729",23.0,9%,58 : 42
501–600,University of Guelph,"22,571",27.4,10%,59 : 41
501–600,Gwangju Institute of Science and Technology,"1,884",10.3,7%,23 : 77
501–600,Harbin Institute of Technology,"30,575",10.2,8%,31 : 69
501–600,Heriot-Watt University,"9,493",18.3,36%,40 : 60
501–600,Hokkaido University,"18,085",8.2,11%,30 : 70
501–600,University of International Business and Economics,"15,985",17.7,17%,65 : 35
501–600,Iran University of Medical Sciences,"8,344",8.2,4%,58 : 42
501–600,"Islamic Azad University, Najafabad Branch (IAUN)","21,181",53.9,1%,46 : 54
501–600,Jagiellonian University,"36,354",10.0,11%,63 : 37
501–600,Kafrelsheikh University,"57,421",24.5,2%,52 : 48
501–600,Keele University,"9,122",14.9,17%,58 : 42
501–600,University of Kentucky,"26,483",11.5,4%,56 : 44
501–600,Koc University,"5,521",15.4,7%,50 : 50
501–600,Kyushu University,"18,608",7.7,14%,29 : 71
501–600,University of Lagos,"32,732",19.7,0%,45 : 55
501–600,University of Lille,"69,090",28.8,15%,58 : 42
501–600,Lincoln University,"2,633",14.7,47%,51 : 49
501–600,University of Lincoln,"13,925",15.4,12%,56 : 44
501–600,University of Lisbon,"49,198",17.9,18%,53 : 47
501–600,Mansoura University,"154,957",24.2,3%,54 : 46
501–600,Maynooth University,"10,712",27.6,12%,56 : 44
501–600,University of Messina,"15,479",24.7,3%,62 : 38
501–600,Mizzou - University of Missouri,"25,147",11.8,5%,54 : 46
501–600,University of Mohaghegh Ardabili,"10,633",26.7,0%,56 : 44
501–600,University of Montana,"7,962",14.9,2%,57 : 43
501–600,Murdoch University,"17,261",37.3,41%,60 : 40
501–600,University of Nairobi,"52,678",34.5,2%,24 : 76
501–600,University of Nebraska Medical Center,"3,146",2.1,7%,68 : 32
501–600,New Jersey Institute of Technology,"9,447",14.3,26%,26 : 74
501–600,Northern Arizona University,"30,512",26.9,5%,62 : 38
501–600,North-West University,"40,262",25.4,3%,61 : 39
501–600,Northwestern Polytechnical University,"31,033",13.2,3%,26 : 74
501–600,Nottingham Trent University,"27,218",14.9,20%,58 : 42
501–600,Oklahoma State University,"21,626",14.8,6%,50 : 50
501–600,University of Perugia,"25,301",24.9,7%,57 : 43
501–600,Plekhanov Russian University of Economics,"14,450",8.8,13%,61 : 39
501–600,Polytechnic University of Bari,"9,639",41.5,1%,31 : 69
501–600,Pontifical Javeriana University,"28,885",15.3,1%,55 : 45
501–600,University of Portsmouth,"21,688",16.1,27%,46 : 54
501–600,Quaid-i-Azam University,"16,793",11.6,1%,63 : 37
501–600,Rensselaer Polytechnic Institute,"7,800",15.6,20%,32 : 68
501–600,Riga Stradi<U+0146><U+0161> University,"8,083",17.7,29%,73 : 27
501–600,Sabanc<U+0131> University,"3,700",20.9,9%,38 : 62
501–600,Saint Louis University,"10,742",7.1,7%,60 : 40
501–600,University of Sannio,"2,896",15.0,2%,51 : 49
501–600,University of Saskatchewan,"17,896",18.2,21%,55 : 45
501–600,University of Sassari,"14,500",35.6,2%,66 : 34
501–600,Southeast University,"35,213",11.8,5%,39 : 61
501–600,Southwestern University of Finance and Economics,"23,302",16.7,3%,64 : 36
501–600,University of Strasbourg,"49,511",19.6,20%,58 : 42
501–600,Suez Canal University,"36,423",11.0,1%,57 : 43
501–600,Sumy State University,"8,472",9.7,20%,
501–600,Universiti Teknologi Petronas,"5,412",14.4,16%,37 : 63
501–600,Thapar Institute of Engineering and Technology,"8,934",16.1,1%,28 : 72
501–600,Tokyo Medical and Dental University (TMDU),"3,027",4.3,10%,49 : 51
501–600,University of Trieste,"16,432",24.7,8%,56 : 44
501–600,University of Tsukuba,"15,853",12.8,17%,39 : 61
501–600,University of Tuscia,"6,989",20.3,3%,48 : 52
501–600,University of Urbino Carlo Bo,"14,956",41.2,6%,62 : 38
501–600,Victoria University of Wellington,"17,933",19.0,22%,57 : 43
501–600,University of the West of Scotland,"13,013",23.1,24%,60 : 40
501–600,Zhejiang Normal University,"23,861",10.4,10%,
601–800,Hazara University Mansehra,"9,830",23.0,0%,25 : 75
601–800,Lithuanian University of Health Sciences,"6,720",9.2,17%,76 : 24
601–800,Abdul Wali Khan University Mardan,"10,669",21.4,0%,20 : 80
601–800,Abo Akademi University,"5,309",17.5,14%,
601–800,Ahvaz Jundishapur University of Medical Sciences (AJUMS),"8,259",11.5,1%,60 : 40
601–800,The University of Aizu,"1,197",11.7,7%,11 : 89
601–800,Ajou University,"9,073",17.2,11%,
601–800,The University of Alabama,"35,800",21.6,4%,56 : 44
601–800,University of Alabama in Huntsville,"8,258",18.1,6%,45 : 55
601–800,University of Alcala,"17,995",11.9,23%,53 : 47
601–800,Aristotle University of Thessaloniki,"49,057",30.1,5%,60 : 40
601–800,University of Arkansas,"25,527",20.0,5%,53 : 47
601–800,Auburn University,"27,469",18.8,10%,50 : 50
601–800,Azarbaijan Shahid Madani University,"7,121",26.3,0%,61 : 39
601–800,University of the Balearic Islands,"17,449",17.9,3%,32 : 68
601–800,Banaras Hindu University,"13,900",8.8,3%,39 : 61
601–800,Bar-Ilan University,"16,498",16.5,5%,61 : 39
601–800,Beijing Institute of Technology,"33,771",13.8,6%,34 : 66
601–800,University of Beira Interior,"7,417",16.2,20%,52 : 48
601–800,University of Bergamo,"22,957",61.9,7%,63 : 37
601–800,Bilkent University,"9,961",14.3,9%,46 : 54
601–800,Universite Bourgogne Franche-Comte (UBFC),"65,746",36.6,12%,55 : 45
601–800,University of Bradford,"8,246",18.6,28%,57 : 43
601–800,University of Brighton,"16,094",17.7,22%,60 : 40
601–800,Ca’ Foscari University of Venice,"16,804",25.7,11%,64 : 36
601–800,Cairo University,"231,150",38.6,3%,48 : 52
601–800,University of Calabria,"26,513",31.6,3%,58 : 42
601–800,Carleton University,"28,693",29.6,21%,49 : 51
601–800,University of Catania,"25,486",20.2,3%,55 : 45
601–800,University of Central Florida,"61,044",36.3,4%,56 : 44
601–800,Institute of Chemical Technology,"2,470",24.7,0%,37 : 63
601–800,China Agricultural University,"21,855",11.8,1%,58 : 42
601–800,Chongqing University,"40,613",19.9,6%,
601–800,Chung-Ang University,"18,066",23.0,21%,
601–800,University of Coimbra,"21,845",18.4,20%,57 : 43
601–800,Concordia University,"35,698",33.6,33%,50 : 50
601–800,Covenant University,"8,156",15.2,0%,43 : 57
601–800,Coventry University,"30,827",15.6,46%,48 : 52
601–800,CY Cergy Paris University,"14,768",19.7,25%,52 : 48
601–800,Dalian University of Technology,"40,469",15.3,3%,33 : 67
601–800,Delhi Technological University,"9,939",22.2,3%,19 : 81
601–800,De Montfort University,"21,889",19.6,33%,54 : 46
601–800,University of Derby,"14,941",14.8,16%,59 : 41
601–800,University of Deusto,"9,135",20.2,11%,59 : 41
601–800,Eotvos Lorand University,"29,639",16.6,12%,62 : 38
601–800,Ewha Womans University,"14,876",18.0,15%,100 : 0
601–800,Federal University of Minas Gerais,"43,886",12.9,2%,53 : 47
601–800,Universidade Federal do Rio Grande do Sul,"41,073",14.7,1%,51 : 49
601–800,Universidade Federal de Sergipe,"26,079",15.2,0%,52 : 48
601–800,Federation University Australia,"12,946",23.2,56%,53 : 47
601–800,Gabriele d‘Annunzio University,"24,189",35.0,2%,64 : 36
601–800,University of Girona,"13,903",21.1,14%,57 : 43
601–800,Glasgow Caledonian University,"13,509",22.8,18%,57 : 43
601–800,Government College University Faisalabad,"20,583",28.6,0%,49 : 51
601–800,University of Granada,"50,604",13.6,10%,60 : 40
601–800,University of Graz,"19,211",20.8,16%,65 : 35
601–800,Graz University of Technology,"6,386",9.4,22%,24 : 76
601–800,University of Greenwich,"14,196",17.8,41%,59 : 41
601–800,Guangdong University of Technology,"44,296",18.4,0%,29 : 71
601–800,Guangzhou University,"34,472",16.9,0%,56 : 44
601–800,Hacettepe University,"49,026",21.3,3%,54 : 46
601–800,University of Haifa,"16,228",9.5,6%,68 : 32
601–800,Hamburg University of Technology,"4,931",32.0,24%,27 : 73
601–800,University of Hertfordshire,"17,771",14.7,31%,56 : 44
601–800,University of Houston,"47,002",26.6,8%,51 : 49
601–800,Huazhong Agricultural University,"27,746",17.6,2%,48 : 52
601–800,University of Huddersfield,"14,349",20.0,26%,57 : 43
601–800,University of Hull,"13,438",17.4,19%,55 : 45
601–800,University of Idaho,"9,565",15.8,8%,49 : 51
601–800,Indian Institute of Technology Gandhinagar,"1,590",15.5,0%,24 : 76
601–800,Indraprastha Institute of Information Technology Delhi,"2,122",26.2,1%,30 : 70
601–800,"International Institute of Information Technology, Hyderabad","1,557",17.5,8%,20 : 80
601–800,"International Islamic University, Islamabad","23,174",25.2,8%,50 : 50
601–800,Iran University of Science and Technology,"15,004",33.9,1%,34 : 66
601–800,ISCTE-University Institute of Lisbon,"9,118",23.0,15%,51 : 49
601–800,Istanbul Technical University,"25,640",21.0,12%,35 : 65
601–800,ITMO University,"11,089",16.4,20%,36 : 64
601–800,Jamia Millia Islamia,"10,451",9.3,2%,47 : 53
601–800,Jawaharlal Nehru University,"8,805",14.2,3%,47 : 53
601–800,Jinan University,"35,781",14.4,31%,59 : 41
601–800,University of Johannesburg,"28,273",24.7,15%,55 : 45
601–800,Johannes Kepler University of Linz,"6,644",10.2,13%,51 : 49
601–800,University of Kaiserslautern,"9,131",31.1,22%,35 : 65
601–800,Kansai Medical University,958,1.2,2%,46 : 54
601–800,University of Kashan,"8,556",27.9,3%,53 : 47
601–800,Kashan University of Medical Sciences and Health Services,"3,148",13.3,3%,57 : 43
601–800,Universiti Kebangsaan Malaysia,"17,165",10.3,16%,57 : 43
601–800,Keio University,"34,319",10.1,9%,37 : 63
601–800,Kerman University of Medical Sciences,"5,202",3.6,2%,63 : 37
601–800,Kobe University,"15,642",10.4,7%,36 : 64
601–800,Konkuk University,"13,316",24.5,17%,49 : 51
601–800,University of Kurdistan,"11,853",33.7,4%,53 : 47
601–800,Kyungpook National University,"19,332",19.9,12%,44 : 56
601–800,University of La Laguna,"18,316",12.7,4%,58 : 42
601–800,University of Latvia,"12,054",34.2,7%,70 : 30
601–800,Lehigh University,"6,400",10.7,19%,45 : 55
601–800,University of Limerick,"14,951",24.7,16%,50 : 50
601–800,University of Lorraine,"60,673",19.4,17%,52 : 48
601–800,Louisiana State University,"28,656",19.9,6%,53 : 47
601–800,Lviv Polytechnic National University,"21,334",10.0,1%,41 : 59
601–800,Mae Fah Luang University,"14,136",21.7,5%,73 : 27
601–800,Mahatma Gandhi University,"1,643",15.4,1%,68 : 32
601–800,Mahidol University,"29,160",9.5,5%,64 : 36
601–800,Makerere University,"32,113",22.0,3%,44 : 56
601–800,University of Malakand,"7,256",24.5,1%,24 : 76
601–800,Manchester Metropolitan University,"28,520",14.7,18%,59 : 41
601–800,Marche Polytechnic University,"10,398",19.4,5%,46 : 54
601–800,"University of Maryland, Baltimore County","11,663",17.1,9%,45 : 55
601–800,Mashhad University of Medical Sciences,"9,013",9.5,4%,58 : 42
601–800,Massey University,"18,701",16.9,32%,63 : 37
601–800,Memorial University of Newfoundland,"15,698",14.6,22%,55 : 45
601–800,Middle East Technical University,"18,346",23.9,9%,52 : 48
601–800,University of Missouri-St Louis,"6,639",15.7,5%,58 : 42
601–800,Montana State University,"14,153",17.6,3%,47 : 53
601–800,Monterrey Institute of Technology,"15,897",15.3,10%,43 : 57
601–800,Moscow State University of Civil Engineering,"9,229",8.3,10%,
601–800,Nanjing Medical University,"20,278",8.7,4%,
601–800,University of Nantes,"36,227",23.8,11%,56 : 44
601–800,National Cheng Kung University (NCKU),"19,932",15.0,13%,37 : 63
601–800,National Institute of Applied Sciences of Lyon (INSA Lyon),"6,344",20.2,28%,35 : 65
601–800,National University of Science and Technology (MISiS),"7,207",10.9,27%,40 : 60
601–800,National Taiwan Normal University,"10,455",12.0,23%,
601–800,National Taiwan University of Science and Technology (Taiwan Tech),"8,815",18.5,19%,30 : 70
601–800,University of Neuchatel,"4,099",11.1,20%,60 : 40
601–800,University of New Brunswick UNB,"8,628",14.3,13%,50 : 50
601–800,University of Nicosia,"4,662",11.8,53%,52 : 48
601–800,Nippon Medical School,869,0.9,1%,36 : 64
601–800,Northern Illinois University,"14,266",15.5,6%,51 : 49
601–800,Norwegian University of Life Sciences,"6,185",7.0,19%,56 : 44
601–800,Ohio University (Main campus),"23,940",21.7,4%,56 : 44
601–800,Ontario Tech University,"8,924",29.0,7%,44 : 56
601–800,The Open University,"63,446",31.8,8%,64 : 36
601–800,Open University of Catalonia,"27,406",87.9,6%,56 : 44
601–800,Oran 1 University,"26,452",19.6,1%,72 : 28
601–800,Oxford Brookes University,"13,117",14.8,25%,60 : 40
601–800,University of Palermo,"31,324",21.6,1%,57 : 43
601–800,Panjab University,"16,047",15.0,1%,50 : 50
601–800,Pantheon-Sorbonne University – Paris 1,"34,721",28.0,21%,61 : 39
601–800,University of Parma,"27,015",31.1,6%,57 : 43
601–800,Parthenope University of Naples,"11,140",32.2,2%,43 : 57
601–800,Universidad Peruana Cayetano Heredia,"7,638",8.7,1%,67 : 33
601–800,University of Peshawar,"6,064",9.3,0%,35 : 65
601–800,University of the Philippines,"44,310",9.8,1%,57 : 43
601–800,Universitat Politecnica de Catalunya,"23,211",10.5,13%,26 : 74
601–800,Polytechnic University of Turin,"29,711",30.7,16%,38 : 62
601–800,University of Pretoria,"36,337",22.4,7%,58 : 42
601–800,Prince Sattam Bin Abdulaziz University,"26,682",11.9,2%,59 : 41
601–800,Universiti Putra Malaysia,"19,674",11.9,25%,64 : 36
601–800,Universite du Quebec,"52,387",18.9,13%,57 : 43
601–800,University of Regensburg,"21,376",9.8,8%,60 : 40
601–800,University of Regina,"13,324",23.9,24%,60 : 40
601–800,Renmin University of China,"27,810",13.7,6%,
601–800,University of Rhode Island,"16,615",15.2,3%,57 : 43
601–800,University of Rome III,"32,067",47.1,5%,60 : 40
601–800,Roskilde University,"6,409",16.9,16%,64 : 36
601–800,Rovira i Virgili University,"12,744",12.5,13%,60 : 40
601–800,RUDN University,"21,203",13.3,34%,58 : 42
601–800,Sahand University of Technology,"5,331",28.8,0%,38 : 62
601–800,Universiti Sains Malaysia,"21,550",10.6,15%,63 : 37
601–800,Saint Petersburg State University,"22,751",7.9,16%,62 : 38
601–800,San Diego State University,"31,221",28.1,8%,56 : 44
601–800,Saveetha University,"11,080",6.9,1%,41 : 59
601–800,Shahid Beheshti University of Medical Sciences,"12,340",8.3,3%,58 : 42
601–800,Shanghai University,"37,347",14.3,6%,50 : 50
601–800,Shiraz University of Technology,"1,561",15.5,0%,37 : 63
601–800,University of Siegen,"12,590",26.9,13%,54 : 46
601–800,University of Siena,"12,772",17.5,8%,62 : 38
601–800,Soochow University,"46,800",16.2,7%,56 : 44
601–800,Southern Cross University,"11,141",32.2,31%,61 : 39
601–800,Stevens Institute of Technology,"6,265",16.8,34%,29 : 71
601–800,University of the Sunshine Coast,"10,427",30.3,18%,68 : 32
601–800,SUNY Binghamton University,"18,442",22.9,12%,50 : 50
601–800,University of Tabriz,"19,598",25.4,4%,52 : 48
601–800,Tabriz University of Medical Sciences,"8,684",9.9,2%,56 : 44
601–800,Tallinn University of Technology,"9,162",13.1,16%,42 : 58
601–800,Tehran University of Medical Sciences,"11,543",6.4,8%,58 : 42
601–800,Universiti Teknologi Malaysia,"19,192",11.5,18%,46 : 54
601–800,University of Texas at Arlington,"33,391",27.6,12%,60 : 40
601–800,The University of Texas at San Antonio,"27,066",25.2,3%,51 : 49
601–800,Texas Tech University,"34,018",19.2,8%,47 : 53
601–800,Tokyo Metropolitan University,"8,911",10.6,5%,39 : 61
601–800,University of Toledo,"18,217",14.9,10%,51 : 49
601–800,Tomsk State University,"7,724",11.7,36%,
601–800,TU Braunschweig,"19,960",10.0,15%,39 : 61
601–800,University of Udine,"11,879",17.7,6%,54 : 46
601–800,University of Ulsan,"12,872",11.6,5%,47 : 53
601–800,Ulster University,"17,416",18.1,9%,57 : 43
601–800,Umm Al-Qura University,"30,043",8.3,10%,33 : 67
601–800,Universiti Utara Malaysia,"12,463",11.4,30%,71 : 29
601–800,University of Warsaw,"37,541",12.1,10%,64 : 36
601–800,Wenzhou University,"16,820",14.5,4%,58 : 42
601–800,Wenzhou Medical University,"17,300",10.9,6%,59 : 41
601–800,University of the Western Cape,"23,498",34.8,5%,62 : 38
601–800,University of Windsor,"13,853",31.1,28%,
601–800,University of Wisconsin-Milwaukee,"19,860",19.1,5%,54 : 46
601–800,Worcester Polytechnic Institute,"5,982",12.9,19%,37 : 63
601–800,University of Wuppertal,"15,834",40.4,11%,54 : 46
601–800,University of Wyoming,"10,787",14.7,6%,50 : 50
601–800,Xi’an Jiaotong-Liverpool University,"12,566",19.6,7%,53 : 47
601–800,Zayed University,"7,844",14.9,2%,89 : 11
801–1000,Estonian University of Life Sciences,"2,285",6.5,13%,56 : 44
801–1000,Istanbul University-Cerrahpa<U+015F>a,"26,680",24.1,5%,40 : 60
801–1000,Technical University of Crete,"6,875",31.3,4%,33 : 67
801–1000,University of Maragheh,"3,085",20.7,0%,53 : 47
801–1000,University of Texas Rio Grande Valley,"26,512",21.7,3%,59 : 41
801–1000,Zhejiang University of Finance and Economics,"16,519",19.8,3%,63 : 37
801–1000,University of the Aegean,"19,954",60.7,1%,56 : 44
801–1000,"University of Agriculture, Faisalabad","26,990",38.8,0%,44 : 56
801–1000,Al-Balqa Applied University,"29,814",30.6,6%,59 : 41
801–1000,University of Algarve,"8,264",13.7,21%,57 : 43
801–1000,Aligarh Muslim University,"22,215",13.8,2%,36 : 64
801–1000,Amedeo Avogadro University of Eastern Piedmont,"13,677",36.9,7%,62 : 38
801–1000,American University in Cairo,"5,904",14.0,5%,56 : 44
801–1000,American University of Sharjah,"4,476",11.7,77%,53 : 47
801–1000,Amrita Vishwa Vidyapeetham,"14,994",11.4,10%,
801–1000,"University of the Andes, Colombia","15,280",12.6,2%,45 : 55
801–1000,Anna University,"14,966",17.2,1%,45 : 55
801–1000,Arts et Metiers,"6,018",16.0,17%,19 : 81
801–1000,Athens University of Economics and Business,"9,180",47.6,5%,45 : 55
801–1000,University of Aveiro,"12,068",14.8,10%,53 : 47
801–1000,Bahce<U+015F>ehir University,"17,859",46.3,17%,52 : 48
801–1000,University of the Basque Country,"42,869",15.1,5%,54 : 46
801–1000,Bauman Moscow State Technical University,"18,011",6.5,13%,34 : 66
801–1000,Baylor University,"18,242",15.6,7%,59 : 41
801–1000,University of Bedfordshire,"10,426",21.9,48%,61 : 39
801–1000,University of Belgrade,"94,316",19.1,5%,62 : 38
801–1000,Ben-Gurion University of the Negev,"16,252",20.2,2%,52 : 48
801–1000,Benha University,"115,000",22.2,4%,39 : 61
801–1000,Beni-Suef University,"80,402",29.0,1%,47 : 53
801–1000,Bharathiar University,"3,698",14.6,0%,67 : 33
801–1000,"Birla Institute of Technology and Science, Pilani","14,849",17.5,2%,19 : 81
801–1000,Bo<U+011F>azici University,"13,108",23.6,3%,46 : 54
801–1000,Carlos III University of Madrid,"17,820",11.1,16%,45 : 55
801–1000,University of Central Lancashire,"17,644",13.4,20%,59 : 41
801–1000,Central Queensland University,"16,886",21.1,37%,53 : 47
801–1000,Chang Gung University,"7,232",12.4,6%,49 : 51
801–1000,Chapman University,"9,060",12.7,7%,61 : 39
801–1000,Charles Sturt University,"23,264",23.1,27%,57 : 43
801–1000,University of Chile,"37,264",15.4,5%,49 : 51
801–1000,"China University of Geosciences, Beijing","16,408",14.7,1%,36 : 64
801–1000,"China University of Geosciences, Wuhan","29,999",16.0,4%,
801–1000,China University of Mining and Technology,"49,032",19.0,2%,34 : 66
801–1000,"China University of Petroleum, Beijing","16,139",16.5,6%,
801–1000,Chulalongkorn University,"34,719",11.1,3%,59 : 41
801–1000,Clarkson University,"4,466",15.7,10%,35 : 65
801–1000,Clemson University,"22,785",16.0,7%,48 : 52
801–1000,University of Clermont Auvergne,"35,613",20.5,14%,56 : 44
801–1000,University of Colombo,"30,227",31.1,0%,65 : 35
801–1000,COMSATS University Islamabad,"35,851",14.2,1%,32 : 68
801–1000,University of Cordoba,"17,605",14.6,9%,57 : 43
801–1000,Creighton University,"8,749",13.5,4%,59 : 41
801–1000,University of Debrecen,"28,593",16.8,22%,55 : 45
801–1000,University of Delhi,"25,543",23.4,1%,47 : 53
801–1000,University of Dhaka,"207,118",16.5,3%,48 : 52
801–1000,Donghua University,"22,434",14.4,6%,45 : 55
801–1000,East China University of Science and Technology,"27,720",16.5,2%,38 : 62
801–1000,University of East London,"10,769",19.5,36%,62 : 38
801–1000,Ecole Centrale de Lyon,"2,088",15.2,24%,25 : 75
801–1000,Edge Hill University,"11,151",14.5,6%,69 : 31
801–1000,European University of Madrid,"10,576",10.6,32%,49 : 51
801–1000,Universidade Federal de Santa Catarina,"38,086",15.6,3%,51 : 49
801–1000,Universidade Federal de Sao Paulo (UNIFESP),"18,588",9.9,1%,59 : 41
801–1000,Florida Agricultural and Mechanical University,"9,667",18.1,1%,66 : 34
801–1000,Florida Atlantic University,"25,416",19.2,9%,58 : 42
801–1000,Florida Institute of Technology,"5,400",15.6,30%,35 : 65
801–1000,University of Foggia,"10,702",32.6,1%,63 : 37
801–1000,University of Fortaleza (UNIFOR),"20,775",17.5,0%,54 : 46
801–1000,Fujita Health University,"3,112",3.2,1%,56 : 44
801–1000,Fuzhou University,"37,509",15.8,1%,40 : 60
801–1000,Hiroshima University,"15,048",8.7,12%,38 : 62
801–1000,Reichman University,"7,601",14.9,26%,51 : 49
801–1000,Imam Abdulrahman Bin Faisal University,"24,510",8.2,3%,76 : 24
801–1000,"Indian Institute of Science Education and Research, Pune","1,440",10.7,0%,31 : 69
801–1000,Indian Institute of Science Education and Research Kolkata,"1,477",12.5,0%,26 : 74
801–1000,Indian Institute of Technology Patna,"1,810",14.4,0%,18 : 82
801–1000,University of Indonesia,"39,418",9.6,12%,65 : 35
801–1000,Universitat Internacional de Catalunya,"4,881",12.6,35%,62 : 38
801–1000,University of Ioannina,"23,134",35.9,4%,52 : 48
801–1000,Isfahan University of Medical Sciences,"20,085",20.5,2%,65 : 35
801–1000,Isfahan University of Technology,"10,400",22.9,1%,42 : 58
801–1000,Istanbul Medeniyet University,"8,661",11.0,2%,54 : 46
801–1000,Iuliu Ha<U+0163>ieganu University of Medicine and Pharmacy Cluj-Napoca,"7,880",7.7,34%,66 : 34
801–1000,Jadavpur University,"12,967",21.3,1%,32 : 68
801–1000,University of Jaen,"14,241",16.9,8%,57 : 43
801–1000,Jaume I University,"11,745",14.9,10%,59 : 41
801–1000,Jiangsu University,"35,947",9.5,6%,42 : 58
801–1000,Jiangsu Normal University,"23,006",14.1,2%,
801–1000,Jikei University School of Medicine,"1,098",0.9,0%,45 : 55
801–1000,The University of Jordan,"30,062",13.7,17%,67 : 33
801–1000,Juntendo University,"5,468",4.3,3%,55 : 45
801–1000,Kalasalingam Academy of Research and Education,"7,015",8.8,0%,41 : 59
