"sorting_1","ranking-institution-title","stats_number_students","stats_student_staff_ratio","stats_pc_intl_students","stats_female_male_ratio"
"401¡V500","Free University of Bozen-Bolzano","4,195","11.2","15%","67 : 33"
"401¡V500","University of Fribourg","10,687","25.4","17%","60 : 40"
"401¡V500","University of Genoa","23,225","18.9","9%","56 : 44"
"401¡V500","Georgia State University","32,290","15.5","6%","59 : 41"
"401¡V500","Goldsmiths, University of London","9,325","15.6","37%","66 : 34"
"401¡V500","Hong Kong Baptist University","7,075","10.1","58%","67 : 33"
"401¡V500","Hunan University","40,198","18.6","3%","48 : 52"
"401¡V500","University of Ibadan","35,083","22.6","1%","48 : 52"
"401¡V500","University of Iceland","9,023","15.5","11%","67 : 33"
"401¡V500","Indian Institute of Technology Indore","1,832","11.4","0%","19 : 81"
"401¡V500","University of Innsbruck","13,517","22.2","43%","53 : 47"
"401¡V500","University of Insubria","9,207","26.5","6%","56 : 44"
"401¡V500","Iowa State University","31,013","17.9","11%","44 : 56"
"401¡V500","Jacobs University","1,571","21.9","78%","43 : 57"
"401¡V500","Jordan University of Science and Technology","22,656","14.5","13%","57 : 43"
"401¡V500","Justus Liebig University Giessen","27,666","42.8","10%","63 : 37"
"401¡V500","University of Kansas","24,581","9.6","9%","53 : 47"
"401¡V500","University of Kragujevac","15,717","12.5","0%","54 : 46"
"401¡V500","Leibniz University Hannover","21,640","41.9","18%","42 : 58"
"401¡V500","L¡¦institut Agro","2,221","11.3","17%","62 : 38"
"401¡V500","Liverpool John Moores University","20,662","16.9","16%","53 : 47"
"401¡V500","University of Marburg","24,198","32.4","13%","55 : 45"
"401¡V500","Middlesex University","15,645","18.2","46%","60 : 40"
"401¡V500","Missouri University of Science and Technology","8,898","22.8","11%","23 : 77"
"401¡V500","University of Modena and Reggio Emilia","19,907","28.3","5%","54 : 46"
"401¡V500","University of Naples Federico II","51,444","19.7","2%","55 : 45"
"401¡V500","National and Kapodistrian University of Athens","64,946","33.2","11%","59 : 41"
"401¡V500","National Research Nuclear University MEPhI","5,162","9.5","30%","38 : 62"
"401¡V500","University of Nebraska-Lincoln","24,563","16.2","11%","48 : 52"
"401¡V500","Northumbria University","21,529","16.3","19%","55 : 45"
"401¡V500","Norwegian University of Science and Technology","35,400","14.9","8%","49 : 51"
"401¡V500","NOVA University of Lisbon","20,396","17.9","21%","51 : 49"
"401¡V500","University of Occupational and Environmental Health, Japan","1,170","2.5","1%","51 : 49"
"401¡V500","Orebro University","9,623","15.1","6%","61 : 39"
"401¡V500","University of Peradeniya","16,647","11.1","1%","59 : 41"
"401¡V500","University of Pisa","33,780","21.4","6%","51 : 49"
"401¡V500","University of Plymouth","16,505","17.5","15%","57 : 43"
"401¡V500","Pontificia Universidad Catolica de Chile","29,756","15.3","7%","n/a"
"401¡V500","University of Porto","33,120","16.3","19%","56 : 44"
"401¡V500","Universitat Ramon Llull","14,309","21.4","17%","53 : 47"
"401¡V500","Royal Veterinary College","2,260","10.7","25%","79 : 21"
"401¡V500","Saint-Petersburg Mining University","7,753","11.5","11%","43 : 57"
"401¡V500","University of Salerno","25,911","27.5","3%","55 : 45"
"401¡V500","Sciences Po","12,543","45.0","37%","60 : 40"
"401¡V500","Sharif University of Technology","8,253","21.3","2%","25 : 75"
"401¡V500","University of Sharjah","12,370","17.6","59%","67 : 33"
"401¡V500","Sichuan University","51,121","16.4","6%","50 : 50"
"401¡V500","SOAS University of London","4,633","12.0","54%","68 : 32"
"401¡V500","University of South Carolina-Columbia","32,997","15.9","6%","55 : 45"
"401¡V500","South China University of Technology","41,095","13.3","5%","39 : 61"
"401¡V500","Southern Medical University","20,167","10.8","6%","n/a"
"401¡V500","University of Southern Queensland","11,841","26.5","18%","61 : 39"
"401¡V500","SRUC (Scotland¡¦s Rural College)","1,478","5.7","11%","56 : 44"
"401¡V500","University of Stavanger","11,560","12.1","12%","60 : 40"
"401¡V500","University of Strathclyde","19,337","18.2","27%","51 : 49"
"401¡V500","University of Tabuk","30,590","15.6","1%","48 : 52"
"401¡V500","Technion Israel Institute of Technology","14,482","20.9","9%","38 : 62"
"401¡V500","Tianjin University","27,355","9.0","12%","n/a"
"401¡V500","Ton Duc Thang University","26,833","22.3","1%","57 : 43"
"401¡V500","TU Dortmund University","25,126","84.6","10%","47 : 53"
"401¡V500","Tulane University","11,336","8.0","12%","58 : 42"
"401¡V500","University of Turin","57,586","28.6","6%","61 : 39"
"401¡V500","TU Wien","10,296","18.7","30%","30 : 70"
"401¡V500","University of Vaasa","3,690","21.9","4%","53 : 47"
"401¡V500","University of Valencia","50,601","14.3","13%","58 : 42"
"401¡V500","Verona University","18,825","24.6","4%","64 : 36"
"401¡V500","University of Vic ¡V Central University of Catalonia","6,344","14.5","20%","60 : 40"
"401¡V500","Victoria University","16,680","48.1","31%","52 : 48"
"401¡V500","University of Waikato","10,617","18.8","33%","59 : 41"
"401¡V500","Wayne State University","22,598","11.8","6%","58 : 42"
"401¡V500","University of the West of England","23,322","15.5","21%","54 : 46"
"401¡V500","The University of the West Indies","24,281","16.4","1%","71 : 29"
"401¡V500","Xiamen University","42,141","15.0","4%","51 : 49"
"401¡V500","Xi¡¦an Jiaotong University","38,879","12.5","7%","35 : 65"
